"date","total","uu","uu_students","other","DGK","REBO","FSW","GEO","GW","BETA","MED","UB","UBD","Student","External"
2023-06-05,10,10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-06-15,21,16,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-06-23,26,20,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-13,16,15,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-24,43,34,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-08-03,46,35,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-08-14,20,15,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-08-24,54,40,5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-09-14,62,44,6,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-10-04,74,54,7,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-11-09,77,56,8,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-12-01,87,62,12,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-01-08,94,68,13,13,15,6,18,2,9,13,4,4,1,13,9
2024-02-01,107,75,17,15,16,7,21,3,9,16,4,4,2,14,11
2024-03-01,111,75,21,15,16,7,21,4,9,16,4,4,2,17,11
2024-04-02,119,79,23,17,16,7,21,5,11,16,4,4,3,19,13
2024-05-07,131,83,30,18,16,7,21,6,13,17,4,4,3,26,14
2024-06-03,138,87,31,20,17,7,22,7,13,18,4,4,3,27,16
2024-07-02,141,88,31,22,17,7,22,8,13,18,4,4,3,27,18
2024-08-02,152,94,34,24,17,7,24,8,15,20,4,4,3,30,20
2024-09-02,157,98,34,25,17,8,26,8,16,20,4,4,3,30,21
2024-10-01,181,112,44,25,17,18,29,8,16,20,4,4,3,41,21
2024-11-01,193,117,50,26,18,20,31,8,16,21,4,4,3,46,22
2024-12-02,220,141,53,26,33,21,31,10,20,22,4,4,4,49,22
